Good job!	Sȳz job!
Thank you.	kirimvose.
I have won.	eman won.
I ran home.	nyke dakōtan lenton.
Tom's dead.	tom's morghe.
We are men.	iksi vali.
How are you?	Skorkydoso glaesā?
We need you.	īlon jorrāelagon ao.
Why not both?	skoro syt daor both?
I hate French.	nyke vēdros french.
That's my cat.	konir sagon ñuha keli.
That's my cat.	konir sagon ñuha keli.
That's my cat.	konir sagon ñuha keli.
That's my cat.	konir sagon ñuha keli.
Tom's smiling.	tom's smiling.
Did you see it?	gōntan ao ūndegon ziry?
Did you see it?	gōntan ao ūndegon ziry?
I'm making tea.	iksan verdagon sūmar.
Open the doors.	open se doors.
Open the doors.	open se doors.
I think so, too.	nyke pendagon sīr, tolī.
I think so, too.	nyke pendagon sīr, tolī.
She forgave him.	ziry forgave zirȳla.
There she comes.	konīr ziry māzigon.
This is a horse.	bisa iksis iā anne.
What's her name?	skoros's zirȳla brōzi?
What's his name?	skoros's zȳhon brōzi?
Did you have fun?	gōntan emā kirimves?
Did you see that?	gōntan ao ūndegon bona?
Did you see that?	gōntan ao ūndegon bona?
Have you seen it?	emagon ao ūndegīon ziry?
Have you seen it?	emagon ao ūndegīon ziry?
I'm 25 years old.	iksan 25 jēdri uēpa.
What could it be?	skoros could ziry sagon?
What could it be?	skoros could ziry sagon?
What's your name?	skoros's aōha brōzi?
Have you seen her?	emagon ao ūndegīon zirȳla?
His story is true.	zȳhon vestriarzir iksis drēje.
I have a computer.	eman iā computer.
The house is cold.	se lentor iksis iōrves.
Tom gave me a pen.	tom teptan nyke iā pen.
We're old friends.	īlon're uēpa raqirossa.
We're old friends.	īlon're uēpa raqirossa.
What is your name?	skoros iksis aōha brōzi?
You had better go.	ēdā sȳrkta jikagon.
Can I use your pen?	kostagon nyke gaomagon aōha pen?
Can you wait a bit?	kostagon ao umbagon mirrī?
Can you wait a bit?	kostagon ao umbagon mirrī?
Can you wait a bit?	kostagon ao umbagon mirrī?
Don't be so stupid.	ȳdra daor sagon sīr doru-borto.
Don't be so stupid.	ȳdra daor sagon sīr doru-borto.
How did he find us?	skorkydoso gōntan ziry find īlva?
I corrected myself.	nyke corrected nykēla.
She is about forty.	issa nūmāzma izulēpsa.
Can you rub my back?	kostagon ao rub ñuha arlī?
Can you rub my back?	kostagon ao rub ñuha arlī?
I can survive alone.	kostan botagon mērī.
I pretended to work.	nyke pretended naejot mirre.
I pretended to work.	nyke pretended naejot mirre.
Did you win the race?	gōntan ao ērinagon se race?
It's not their fault.	ziry iksos daor pōja fault.
May I have your name?	kostagon eman aōha brōzi?
Sumatra is an island.	sumatra iksis iā tēgembōñ.
We didn't do a thing.	īlon didn't gaomagon iā run.
Who did you vote for?	qilōni gōntan ao vote syt?
Why do you work here?	skoro syt gaomagon ao mirre kesīr?
Call me at the office.	yne brōzā rȳ se office.
Can I turn off the TV?	kostagon nyke pālegon hen se tv?
Can I use your pencil?	kostagon nyke gaomagon aōha pencil?
He crossed the street.	ziry crossed se geralbar.
I am tired of my work.	iksan ēdrugī hen ñuha mirre.
May I use your pencil?	kostagon nyke gaomagon aōha pencil?
Don't be overconfident.	ȳdra daor sagon overconfident.
He wasn't ready for it.	ziry wasn't ready syt ziry.
It's fairly warm today.	ziry iksos fairly bāne tubī.
Take your hands off me!	gūrogon aōha ondos hen nyke!
This is the last train.	bisa iksis se mōrī bodmagho.
What're we waiting for?	skoros're īlon waiting syt?
Could I use your pencil?	could nyke gaomagon aōha pencil?
I always walk to school.	nyke va moriot geron naejot school.
I have bad news for you.	eman quba udir syt ao.
It's not the first time.	ziry iksos daor se ēlī jēda.
The price is reasonable.	se odre iksis reasonable.
They are making a salad.	issi verdagon iā salad.
Tom told you, didn't he?	tom ivestretan ao, didn't ziry?
Why didn't you stop them?	skoro syt didn't ao keligon zirȳ?
I don't want to be a hero.	nyke ȳdra daor jaelagon naejot sagon iā hero.
I have to make some calls.	eman naejot mazverdagon mirri brōzas.
It is nice and warm today.	issa nice se bāne tubī.
There are almost no books.	konīr issi bē daor tembyr.
Where are you going to go?	skoriot issi ao jāre naejot jikagon?
Where are you going to go?	skoriot issi ao jāre naejot jikagon?
Where are you going to go?	skoriot issi ao jāre naejot jikagon?
He seems to be very sleepy.	ziry vestragon naejot sagon olvie ēdrugī.
I think you'd better leave.	nyke pendagon ao'd sȳrkta henujagon.
We have no school tomorrow.	emi daor school hemtubis.
What time did Tom get here?	skoros jēda gōntan tom jiōragon kesīr?
Are you going by bus or car?	issi ao jāre ondoso bus iā car?
Are you going by bus or car?	issi ao jāre ondoso bus iā car?
Are you going by bus or car?	issi ao jāre ondoso bus iā car?
I saw Tom a few minutes ago.	nyke ūndan tom iā dorolvie minutes ago.
My father has gone to China.	ñuha kepa ēza gone naejot china.
We don't know our neighbors.	īlon ȳdra daor gīmigon īlva neighbors.
I want you to read this book.	jaelan ao naejot pikībagon bisa tembyr.
The apple has begun to decay.	se prūbres ēza begun naejot decay.
This hat is too tight for me.	bisa gelte iksis tolī ȳrda syt nyke.
I always go to school on foot.	nyke va moriot jikagon naejot school va deks.
I just want to go back to bed.	nyke sepār jaelagon naejot jikagon arlī naejot bed.
My father cut wood with a saw.	ñuha kepa nektogon guēse lēda iā ūndan.
My sister is shorter than you.	ñuha mandia iksis shorter than ao.
She left school two years ago.	ziry geptot school lanta jēdri ago.
What would you like Tom to do?	skoros would ao hae tom naejot gaomagon?
I think Tom was born in Boston.	nyke pendagon tom iksin āzma isse boston.
I think we're going to be late.	nyke pendagon īlon're jāre naejot sagon late.
The ghost story was terrifying.	se tolīmorghon vestriarzir iksin terrifying.
The ghost story was terrifying.	se tolīmorghon vestriarzir iksin terrifying.
Are you busy tomorrow afternoon?	issi ao busy hemtubis afternoon?
I used to be the same age as you.	nyke gaomagon naejot sagon keskydoso age hae ao.
He was sitting beside his brother.	īles sitting paktot zȳhon lēkia.
She is able to speak ten languages.	issa able naejot ȳdragon ampa languages.
He seems to be aware of my feelings.	ziry vestragon naejot sagon aware hen ñuha feelings.
I can't imagine my life without you.	nyke kostagon daor imagine ñuha ābrar mijegon ao.
I taught Tom French three years ago.	nyke taught tom french hāre jēdri ago.
I think that Tom was born in Boston.	nyke pendagon bona tom iksin āzma isse boston.
After lunch we have two more classes.	tolī lunch emi lanta tolī classes.
I have not heard from her for a month.	eman daor ryptan hen zirȳla syt iā month.
I think I know what Tom is doing here.	nyke pendagon nyke gīmigon skoros tom iksis doing kesīr.
My sister always keeps her room clean.	ñuha mandia va moriot keeps zirȳla tistālion clean.
He went up to her and they shook hands.	istas bē naejot zirȳla se pōnta shook ondos.
Many people have made the same mistake.	naenie people emagon vēttan keskydoso mistake.
It was found at the bottom of the river.	īles found rȳ se bottom hen qelbar.
It was found at the bottom of the river.	īles found rȳ se bottom hen qelbar.
He is slowly recovering from his illness.	issa slowly recovering hen zȳhon illness.
He left the room as soon as I entered it.	ziry geptot se tistālion hae aderī hae nyke entered ziry.
He left the room as soon as I entered it.	ziry geptot se tistālion hae aderī hae nyke entered ziry.
I don't understand a thing you're saying.	nyke ȳdra daor shifang iā run ao sagon saying.
I'm not satisfied with the result at all.	iksan daor kreni lēda se result rȳ mirre.
The school is closed because of the snow.	se school iksis closed kesrio syt hen sōna.
Did you see him while you were at Lambton?	gōntan ao ūndegon zirȳla while īlē rȳ lambton?
I wonder why we play tennis in miniskirts.	nyke pendagon skoro syt īlon tymagon tennis isse miniskirts.
Tom is standing in the corner of the room.	tom iksis standing isse se corner hen tistālion.
Tom is standing in the corner of the room.	tom iksis standing isse se corner hen tistālion.
If he studied hard, he would pass the test.	lo ziry studied qopsa, ziry would rēbagon se test.
It's too late to do anything about that now.	ziry iksos tolī late naejot gaomagon mirros nūmāzma bona sir.
He crushed the sheet of paper up into a ball.	ziry crushed se sheet hen paper bē ezīmagon iā ball.
I'm going to go to the doctor this afternoon.	iksan jāre naejot jikagon naejot se doctor bisa afternoon.
He cared for his mother after his father died.	ziry cared syt zȳhon muña tolī zȳhon kepa morghūltan.
She was born with a silver spoon in her mouth.	īles āzma lēda iā gēlenka spoon isse zirȳla relgos.
I pretended not to understand what he was saying.	nyke pretended daor naejot shifang skoros īles saying.
I will tell him about it when he comes next time.	kesan ivestragon zirȳla nūmāzma ziry skori ziry māzigon hembar jēda.
She was ready to help him with cleaning the house.	īles ready naejot dohaeragon zirȳla lēda cleaning se lentor.
I'm calling because my credit card has been stolen.	iksan brōzare kesrio syt ñuha credit card ēza issare stolen.
If it were not for water, no living things could live.	lo ziry sia daor syt iēdar, daor living ra could glaesagon.
The police seized a large quantity of drugs at the school.	se police gūrotan iā rōva quantity hen drugs rȳ se school.
They wanted a wedding picture in front of the Eiffel Tower.	pōnta jeldan iā dīnilūks picture isse naejon hen eiffel tower
